Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
YARLINGTON HOMES LIMITED,No,No,No,No,No,SO50 6AD,4916897,41202,31/03/2021,Active,89,16/09/2021,Secure,0.9,"323,337",68,31/03/2020,Stable,YARLINGTON HOUSING GROUP,10,14.44,8,14.44,11.91,14,14.77,24,14.15,,1.03,,73.64,1.1,,,0.8,5.71,1.31,,82.49,,6.06,,,,,,,,,,,,,,"2,019",N
TOWER HAMLETS HOMES LIMITED,No,No,No,No,No,E14 9NN,6249790,68320,31/03/2020,Active,68,06/01/2022,Stable,2.2,"722,952",89,31/03/2019,Secure,,19,21.34,37,6.55,5.27,2.73,2.64,,2.64,2.74,2.39,429.98,44.63,,,,,5.11,5.11,0.44,24.69,32.79,226.06,"2,198","10,300",1,0,0,,,,,,,1,,"2,019",N
CO-OPERATIVE LEGAL SERVICES LIMITED,No,No,No,No,No,M60 0AG,5671209,69102,02/01/2021,Active,93,20/12/2021,Secure,0.9,"1,250,000",37,02/12/2019,Caution,CO-OPERATIVE LEGAL SERVICES LIMITED,45,24.52,31,22.45,4.99,7.12,87,1,7.11,8.07,3.15,2.5,,,1.7,214.51,3.37,0.93,0.93,10.88,20.36,25.57,266.49,"6,203","25,302",,,,,,,,,,,,"2,019",N
PIONEERING FOODS GROUP LIMITED,No,No,No,No,No,NR11 6RR,4395837,70100,31/12/2020,Active,95,13/10/2021,Secure,0.9,"122,574",92,31/12/2019,Secure,POLCAF,11,2.31,35,2.31,0.74,0.24,7.4,1,0.4,0.68,9.58,43.77,2.51,14.81,4.44,82.19,19.58,1.37,1.06,640.5,32.09,47.26,152.98,"4,268","184,447",0,0,0,,,,,,,0,,"2,019",N
SPLAT HOLDINGS LIMITED,No,No,No,No,No,WR2 5AG,7994596,70100,31/03/2021,Active,86,10/01/2022,Secure,0.9,"391,728",89,31/03/2020,Secure,JOHN MARK JOHANSEN-BERG,4,-432.94,19,-177.35,-19.26,-3.66,34.57,1,-4.28,-3.94,48.39,106.95,-29.07,10.31,70.4,5.18,40.1,1.07,0.49,0.69,4.45,4.66,542.87,"-6,768","1,563",0,0,0,,0,,0,,0,0,,"2,019",N
WILLIAMSBUILD MANAGEMENT LIMITED,No,No,No,No,No,PL7 5HZ,7248789,70229,31/07/2020,Active,97,07/05/2021,Secure,0.9,"306,636",97,31/07/2019,Secure,WILLIAMSBUILD MANAGEMENT LIMITED,13,9.85,38,9.76,4.62,1.62,14.68,1,1.65,2.96,6.03,14.72,19.87,143.71,5.57,65.49,27.73,1.53,1.49,111.29,46.93,88.42,0.9,"4,796","48,691",1,0,,,0,,-1,,,0,,"2,019",N
TOM DIXON HOLDING LIMITED,No,No,No,No,No,N1C 4PQ,9593554,70100,31/03/2019,Active,,,,,,,,,NEO CAPITAL PRIVATE EQUITY FUND II LP,34,-34.53,39,-24.66,-17.76,-15.76,57.32,1,-15.59,-7.69,1.56,2.33,-90.1,4.05,6.73,54.26,25.33,1.84,0.85,2.5,51.44,,50.59,"-35,551","102,950",-3,0,0,-4,,,,,6,-2,5.03,"2,019",N
ICON INFRASTRUCTURE LLP,No,No,No,No,No,W1F 9JG,OC364705,66190,31/03/2021,Active,93,07/01/2022,Secure,0.9,"1,832,000",99,31/03/2020,Secure,ICON INFRASTRUCTURE LLP,17,451.83,31,135.87,92.01,49.53,,,57.33,58.02,2.74,38.02,,,291.64,1.25,4.48,2.95,2.95,0.43,20.36,25.57,237.59,"506,314","112,059",18,0,,,0,,,,-17,1,2.11,"2,019",N
JUSTRITE HOLDINGS LTD,No,No,No,No,No,SK6 2SS,10118933,64209,31/12/2019,"Active, in default",88,28/06/2021,Secure,0.9,"906,302",97,31/12/2018,Secure,JMC ACQUISITION CORP,38,6.47,39,5.69,3.73,3.69,36.86,1,4.82,12.32,1.54,2.11,4.34,9.39,4.27,85.51,41.05,1.52,1.2,7.3,57.72,,34.32,"5,878","90,863",4,0,-1,-1,,,,,-6,-5,29.49,"2,019",N
LEEDS GROUP PLC,No,No,No,No,No,LS22 6SL,67863,64209,31/05/2021,Active,92,07/03/2022,Secure,0.9,"607,525",89,31/05/2020,Secure,LEEDS GROUP PLC,31,-7.05,47,-6.24,-4.54,-3.03,21.85,1,-2.48,1.54,2.06,4.29,-5.44,3.51,11.98,30.47,14.51,2.38,0.82,7.75,64.38,,39.14,"-3,731","52,951",2,,0,-1,,,,,0,1,12.04,"2,019",N
HEALTH AND PROTECTION SOLUTIONS LIMITED,No,No,No,No,No,SO15 2BB,4907859,66220,31/12/2020,Active,95,09/08/2021,Secure,0.9,"1,307,000",73,31/12/2019,Stable,MADISON DEARBORN PARTNERS LLC,79,,27,35.33,5.13,15.28,79.11,2,15.61,21.57,2.31,1.39,,,8.48,43.05,9.43,0.89,0.89,-0.17,-2.94,,,"23,618",,,,,,,,,,,,137.05,"2,019",N
HARTING UK LIMITED,No,No,No,No,No,NN3 6WL,1491158,70100,30/09/2021,Active,99,10/02/2022,Secure,0.9,"1,114,000",99,30/09/2020,Secure,HARTING STIFTUNG & CO. KG,14,47.62,30,47.29,32.66,15.76,30.74,2,15.74,16.38,3,19.81,,21.41,5.24,69.71,7.61,2.89,2.58,144.8,68.59,,13.12,"51,357","107,853",3,0,-1,,-1,,-2,,,-1,,"2,019",N
FOUR MSA LIMITED,No,No,No,No,No,E1 1FX,5990438,73110,31/12/2020,Active,89,08/11/2021,Secure,0.9,"216,082",86,31/12/2019,Secure,FOUR COMMUNICATIONS GROUP LIMITED,32,9.63,29,9.63,2.37,2.59,13.9,1,2.59,,3.71,,,89.19,2.57,142.17,171.22,1.33,1.31,,24.63,32.67,101,"34,721",,,,,,,,,,,,,"2,019",N
SCOBIE AND JUNOR (HOLDINGS) LIMITED,No,No,No,No,No,G2 1AL,SC047779,46900,30/06/2021,Active,92,26/01/2022,Secure,0.9,"173,804",99,30/06/2020,Secure,SCOBIE AND JUNOR (HOLDINGS) LIMITED,13,13.21,33,8.51,5.65,2.18,27.64,1,3.66,5.04,3.9,20.71,3.7,6.21,7.4,49.35,37.64,2.61,1.36,1.81,42.79,74.78,60.1,"5,264","39,837",2,0,0,,0,,0,,0,1,23.48,"2,019",N
NEWSHIP PRODUCTS GROUP LIMITED,No,No,No,No,No,KT13 0AH,1331386,82990,30/09/2021,Active,95,29/12/2021,Secure,0.9,"742,768",99,30/09/2020,Secure,NEWSHIP PRODUCTS GROUP LIMITED,33,40.09,26,27.08,20.83,26.04,19.48,1,5.36,6.82,1.04,1.43,72.76,3.89,6.8,53.67,29.83,1.91,1.02,2.08,51.97,,52.61,"35,705","89,063",1,0,0,,-2,,0,,2,1,4.73,"2,019",N
BURDEN BROS HOLDINGS LIMITED,No,No,No,No,No,OX16 9SA,7189106,46610,31/03/2020,Active,29,17/03/2022,Caution,11.2,"26,230",31,31/03/2019,Caution,BURDEN BROS HOLDINGS LIMITED,26,0.54,39,0.44,0.15,0.1,10.77,1,0.3,2.9,4.41,9.27,1.49,2.81,6.69,54.59,100.5,1.27,0.46,4.16,27.53,37.99,47.08,315,"57,896",2,0,0,,-1,,0,,1,1,16.68,"2,019",N
BERNESLAI HOMES LIMITED,No,No,No,No,No,S70 2RD,4548803,68320,31/03/2021,Active,86,25/11/2021,Secure,0.9,500,89,31/03/2020,Secure,,20,,40,-33.76,-26.81,-13.24,,,-11.65,-11.27,2.55,125.87,-6.3,83.5,194.52,1.88,14.98,4.78,4.67,-0.61,,,,"-11,753",,-1,0,0,,0,,,,,-1,,"2,019",N
HERMES GPE LLP,No,No,No,No,No,EC2V 6ET,OC348770,66190,31/12/2021,Active,92,14/02/2022,Secure,0.9,"1,106,000",97,31/12/2020,Secure,VOTING SHARES IRREVOCABLE TRUST,27,21.66,31,19.56,9.51,8.23,,,7.37,7.94,2.38,7.13,,,20.57,17.74,,1.63,1.63,9.34,43.92,78.31,10.71,"43,002","198,543",5,0,,,-3,,,,1,3,,"2,019",N
BRAIME GROUP PLC,No,No,No,No,No,LS10 1JZ,488001,25500,31/12/2020,Active,99,11/06/2021,Secure,0.9,"576,203",95,31/12/2019,Secure,BRAIME GROUP PLC,27,11.88,39,10.85,7.56,5.22,,,6.64,8.75,2.08,4.68,4.66,3.9,7,52.16,25.64,2.28,1.05,10.51,63.62,,21.4,"11,926","100,374",1,0,0,-2,,,0,,0,-1,17.09,"2,019",N
PHCO154 LIMITED,No,No,No,No,No,TN4 8TW,5953566,70229,31/12/2020,Active,92,04/10/2021,Secure,0.9,"385,804",89,31/12/2019,Secure,MR PATRICK HANSEN,16,34.53,37,34.14,12.26,5.26,9.4,2,5,5.48,6.49,8.69,,,6.93,52.71,49.32,1.14,1.14,87.48,35.51,55.07,5.28,"41,319","119,673",3,0,0,0,,,-2,,-1,1,,"2,019",N
MOORHOUSE CONSULTING LIMITED,No,No,No,No,No,EC4A 3AG,5053551,70229,31/03/2021,Active,95,10/09/2021,Secure,0.9,"827,821",92,31/03/2020,Secure,ARDIAN LBO FUND VI B S L P,20,27.47,27,26.95,18.94,13.89,25.67,2,13.88,14.57,1.94,46.55,,,4.75,76.91,9.49,3.26,3.26,51.69,68.93,,1.93,"25,609","93,216",,,,,,,,,,,,"2,019",N
"H.I.G. EUROPE, LTD",No,No,No,No,No,W1K 4QB,5980422,64205,31/12/2020,Active,95,07/07/2021,Secure,0.9,"863,777",99,31/12/2019,Secure,"HIG CAPITAL PARTNERS, LP",28,20.9,37,19.92,12.26,9.18,,,9.22,11.91,2.17,6.94,188.78,,459.5,0.79,4.53,2.1,2.1,20.39,58.64,,14.94,"39,671","189,798",4,0,-1,,-2,,,,0,1,34.78,"2,019",N
TELLAR HOLDINGS LIMITED,No,No,No,No,No,M3 7BG,1740554,46900,31/12/2020,Active,99,04/10/2021,Secure,0.9,"753,571",95,31/12/2019,Secure,TELLAR HOLDINGS EOT TRUSTEES LIMITED,18,8.13,27,8.09,6.21,4.08,22.06,1,4.25,5.06,1.98,43.06,19.3,2.15,19.92,18.33,26.76,4.15,1.1,167.09,76.28,,0.6,"10,097","124,114",-3,,0,,0,,,,,-3,,"2,019",N
VERMONT PROPERTY GROUP LIMITED,No,No,No,No,No,L8 5TH,4848702,41100,31/03/2021,Active,92,24/01/2022,Secure,0.9,"289,225",99,31/03/2020,Secure,VERMONT PROPERTY GROUP (EOT) LIMITED,17,56.2,69,54.16,19.47,4.7,6.64,3,4.58,4.73,11.51,191.75,,201.26,25.02,14.59,45.83,1.53,1.5,26.55,34.65,53.02,3.77,"43,458","77,329",6,0,-1,,0,,0,,,5,,"2,019",N
TRIGON GROUP LIMITED,No,No,No,No,No,DE24 8HG,6673195,45320,30/06/2020,Active,99,18/03/2022,Secure,0.9,"691,146",97,30/06/2019,Secure,TRIGON GROUP LIMITED,16,24.92,37,23.17,12.74,5.55,17.46,1,5.78,6.87,4.17,5.74,25.17,10.68,11.29,32.34,57.1,1.33,0.86,13.27,51.14,,13.7,"11,144","44,718",2,0,-1,,-1,,-1,,0,-1,10.96,"2,019",N
KARBON DEVELOPMENTS LIMITED,No,No,No,No,No,NE12 8EG,4895180,68100,31/03/2021,Active,77,29/12/2021,Stable,2.2,"43,922",55,31/03/2020,Normal,KARBON HOMES LIMITED,5,20.66,30,20.66,1.83,0.31,0.45,3,0.31,,66.45,,,,,,,1.1,1.1,,8.87,9.74,,,,,,,,,,,,,,,"2,019",N
OPUS 2 MAGNUM HOLDINGS LIMITED,No,No,No,No,No,EC4A 3BF,7874822,62020,31/03/2021,Active,93,22/10/2021,Secure,0.9,"1,999,000",97,31/03/2020,Secure,MIDCAP INVEST 1. TF SARL,21,47.03,24,46.42,26.1,22.47,70.03,1,22.4,24.8,2.07,12.83,,,3.55,102.88,22.01,2.08,2.08,76.35,55.51,,31.04,"42,336","90,027",,,,,,,,,,,,"2,019",N
INVESCO UK SERVICES LIMITED,No,No,No,No,No,RG9 1HH,6649814,66300,31/12/2020,Active,81,30/09/2021,Secure,2.2,"374,999",89,31/12/2019,Secure,INVESCO LTD,25,-79.54,30,-77.02,-32.59,-27,,,-29.33,,2.85,206.17,,,11.78,30.99,3.25,1.72,1.72,30.52,40.97,69.42,25.41,"-156,119","196,281",,,,,,,,,,,,"2,019",N
SING KEE GROUP LIMITED,No,No,No,No,No,LS7 1BA,5316616,68201,31/08/2021,Active,95,21/03/2022,Secure,0.9,"216,285",92,31/08/2020,Secure,MR QUOC THANH LY,14,14.19,29,10.9,5.91,2.98,15.21,1,2.83,3.25,3.66,2.54,16.59,48.51,22.13,16.49,74.95,0.48,0.39,3.31,41.68,71.47,34.81,"10,109","71,253",2,0,0,,-2,,0,,0,0,8.78,"2,019",N
BOLLINGTON INSURANCE BROKERS LIMITED,No,No,No,No,No,EC4N 8AW,2918954,65120,31/12/2020,Active,68,21/10/2021,Stable,2.2,"875,533",55,31/12/2019,Normal,ARTHUR J. GALLAGHER & CO.,21,36.17,28,36.07,25.02,19.54,86.94,1,19.53,20.44,1.85,25.72,,,7.39,49.41,1.02,3.1,3.1,394.53,69.19,,40.71,"24,330","67,274",,,,,,,,,,,570.18,"2,019",N
LUFTHANSA TECHNIK LANDING GEAR SERVICES UK LIMITED,No,No,No,No,No,UB3 1HP,3459428,77351,31/12/2020,Active,29,15/11/2021,Caution,11.2,500,29,31/12/2019,Caution,DEUTSCHE LUFTHANSA AG,34,,54,-31.53,-7.22,-4.59,14.59,1,-3.31,-2.04,6.87,15.33,-2.6,2.92,8.74,41.75,41.38,1.16,0.46,-0.61,-36.13,,,"-7,793",,,,,,,,,,,,1.9,"2,019",N
CHAUCER GROUP LIMITED,No,No,No,No,No,EC3R 6EN,2136429,70229,31/10/2020,Active,99,23/06/2021,Secure,0.9,"1,162,000",92,31/10/2019,Secure,CVC CAPITAL PARTNERS VIII (A) L.P.,34,26.86,32,26.86,18.33,19.13,32.63,2,19.35,20.04,1.4,12.86,88.1,,4.76,76.73,11.35,2.91,2.91,,68.24,,18.98,"36,182","134,691",,,,,,,,,,,,"2,019",N
SPRING MEDIA INVESTMENTS LIMITED,No,No,No,No,No,NW5 3BH,9931422,73120,31/12/2020,Active,46,19/01/2022,Normal,4.2,500,86,31/12/2019,Secure,SPRING MEDIA INVESTMENTS LIMITED,31,-74.25,79,-20.22,-5,-1.94,46.58,1,-0.75,2.24,10.42,5.95,-0.64,,10.78,33.86,35.84,0.75,0.75,0.37,6.73,7.22,378.43,"-7,259","9,775",8,-1,,,-3,,,,-4,0,6.42,"2,019",N
HALIAN HOLDINGS LIMITED,No,No,No,No,No,AL1 3HZ,8565431,64209,31/10/2020,Active,99,12/07/2021,Secure,0.9,"311,575",97,31/10/2019,Secure,MR ANTONIAN LEVON,15,29.97,38,29.97,16.22,6.25,27.84,1,6.43,7.53,4.8,33.13,30.22,,6.31,57.83,6.46,2.01,2.01,,54.11,,1.93,"5,509","18,381",4,0,,,0,,0,,-2,1,,"2,019",N
STEAMSHIP P&I MANAGEMENT LLP,No,No,No,No,No,E1 7LU,OC376859,66220,20/02/2021,Active,93,17/08/2021,Secure,0.9,"521,506",81,20/02/2020,Secure,ROAD KING INFRASTRUCTURE LIMITED,9,,39,154.91,45.69,10.01,52.52,2,30.8,32.45,15.47,28.12,,,34.12,10.7,31.18,1.19,1.19,-0.43,-21.93,,,"21,837",,11,0,0,-1,,,,,-9,2,,"2,019",N
EVENLODE EMPLOYEE OWNERSHIP TRUSTEE LIMITED,No,No,No,No,No,OX7 5QR,8422703,64205,31/12/2020,Active,93,07/10/2021,Secure,0.9,"1,298,000",93,31/12/2019,Secure,MRS AMANDA SULLIVAN,18,111.87,32,60.54,42.7,24.37,83.33,1,24.74,25.45,2.48,27.67,65.97,,9.41,38.78,4.38,3.18,3.18,1.18,38.17,61.74,93.17,"146,247","130,734",9,0,-2,,-4,,,,3,5,5.66,"2,019",N
MORRIS LESLIE PLANT HIRE LTD,No,No,No,No,No,PH2 7XZ,SC211749,77320,30/04/2021,Active,88,10/09/2021,Secure,0.9,"4,796,000",92,30/04/2020,Secure,MR MORRIS YOUNG LESLIE,159,45.02,77,1.27,0.97,2.03,25.07,2,12.02,32.09,0.63,0.91,1.2,1.24,7.86,46.43,8.5,2.04,0.36,0.03,2.16,2.21,,"7,431","16,505",,,,,,,,,,,1.4,"2,019",N
BARBON INSURANCE GROUP LIMITED,No,No,No,No,No,LN6 7EL,3135797,65120,31/12/2020,Active,99,23/02/2022,Secure,0.9,"2,257,000",36,31/12/2019,Caution,BARBECK TOPCO LIMITED,58,9.93,27,9.93,8.24,17.87,98.91,1,17.84,29.79,0.56,0.65,,,2.18,167.22,81.4,1.72,1.72,,83.06,,3.07,"13,616","137,174",,,,,,,,,,,,"2,019",N
GRANFIT HOLDINGS LIMITED,No,No,No,No,No,EH3 7AL,SC021183,31010,31/12/2020,Active,99,27/08/2021,Secure,0.9,"1,264,000",99,31/12/2019,Secure,MR ROBERT IAIN MACDONALD,41,22.98,40,22.93,19.28,19.95,41.37,2,19.48,20.68,1.15,4.65,410.49,12.61,4.7,77.64,20.89,4.97,4.49,430.54,83.87,,0.23,"48,658","211,716",8,0,,,0,,-5,,,3,,"2,019",N
P.C.E. GROUP HOLDINGS LIMITED,No,No,No,No,No,B79 7UL,2438560,70221,31/12/2020,Active,99,27/09/2021,Secure,0.9,"854,289",99,31/12/2019,Secure,PCE EOT LIMITED,19,32.37,39,30.11,12.77,6.09,18.26,2,6.1,7.49,4.95,11.68,55.08,160.03,5.83,62.63,40.08,1.42,1.4,13.36,39.44,65.13,10.67,"18,759","57,955",2,0,0,,0,,,,-1,1,78.62,"2,019",N
BUYINGTEAM HOLDINGS LIMITED,No,No,No,No,No,EC2V 6DN,5075268,70229,31/12/2020,Active,97,13/09/2021,Secure,0.9,"913,852",93,31/12/2019,Secure,MR MATTHEW EATOUGH,21,32.73,36,28.28,17.68,10.29,41.24,1,10.62,11.39,2.75,7.82,29.58,,4.96,73.62,5.23,2.08,2.08,6.35,54.03,,39.03,"22,123","67,593",3,0,-1,-1,,,,,-2,0,13.71,"2,019",N
HANNAH HOLDINGS LIMITED,No,No,No,No,No,WN8 9UB,4587713,46320,31/03/2021,Active,99,20/08/2021,Secure,0.9,"207,760",95,31/03/2020,Secure,HANNAH HOLDINGS LIMITED,8,10.24,32,7.25,4.07,1.03,15.24,1,1.09,1.71,7.01,8.84,20.99,19.11,15.58,23.43,29.85,1.27,0.8,2.43,39.76,66,64.26,"2,684","26,205",0,0,0,,0,,,,0,0,6.96,"2,019",N
GLADSTONE CAPITAL MANAGEMENT LLP,No,No,No,No,No,W1S 2ES,OC313671,66190,30/11/2020,Active,77,16/03/2022,Stable,2.2,"4,389,000",89,30/11/2019,Secure,MR GEORGE MICHELAKIS,26,93.83,20,75.06,67.1,87.75,,,86.86,87.01,0.86,231.93,,,,,1.5,9.4,9.4,4,71.51,,25.01,,,17,0,,,0,,,,-8,10,5.59,"2,019",N
START SPELLMAN HOLDINGS LIMITED,No,No,No,No,No,RH20 2RY,2463591,70100,31/03/2021,Active,99,22/07/2021,Secure,0.9,"625,749",95,31/03/2020,Secure,SPELLMAN HIGH-VOLTAGE ELECTRONICS CORP,15,40.98,38,40.41,26.83,10.84,24.65,2,10.8,13.12,3.73,12.34,,11.04,8.6,42.42,23.22,2.38,1.71,70.82,65.46,,1.98,"28,667","69,949",6,0,-1,,0,,-4,,,1,,"2,019",N
DECKERS HOSPITALITY GROUP LIMITED,No,No,No,No,No,OL11 3EX,7161009,56101,30/09/2020,Active,93,24/06/2021,Secure,0.9,"131,500",37,30/09/2019,Caution,MR CLIFFORD BRIERLEY,22,9.61,53,5.79,2.84,1.16,11.92,1,1.49,1.91,5.01,6.52,4.47,15.46,10.77,33.91,46.03,1.22,0.91,1.51,29.51,41.87,103.81,"4,213","43,846",1,0,,,1,,0,,-1,1,6.29,"2,019",N
THOMAS PLANT HIRE LIMITED,No,No,No,No,No,CH7 5BL,7654907,77320,31/05/2021,Active,77,14/02/2022,Stable,2.2,"88,775",89,31/05/2020,Secure,MR WYN LLOYD THOMAS,8,11.4,22,11.4,3.36,1.3,7.69,1,1.27,,8.78,,,134.81,3.97,91.94,20,1.42,1.39,,29.51,41.87,186.25,,,0,0,0,,,,,,0,0,,"2,019",N
SACKER & PARTNERS LLP,No,No,No,No,No,EC2V 7JE,OC308089,69102,31/12/2020,Active,89,28/06/2021,Secure,0.9,"2,234,000",93,31/12/2019,Secure,SACKER & PARTNERS LLP,23,,37,,,,,,57.38,58.58,1.78,52.36,,,7.47,48.85,0.13,9.23,9.23,8.04,79.6,,12.43,,"165,439",4,0,,,0,,,,,4,13.41,"2,019",N
SUNRISE BROKERS LLP,No,No,No,No,No,E14 5RD,OC300626,66190,31/12/2020,Active,86,17/12/2021,Secure,0.9,"3,128,000",37,31/12/2019,Caution,MR HOWARD LUTNICK,51,43.01,40,42.43,38.05,48.2,95.77,2,47.69,47.83,0.88,,,,3.94,92.64,,9.68,9.68,72.8,88.46,,1.37,,,,,,,,,,,,,,"2,019",N
STAVE-CON HOLDINGS LIMITED,No,No,No,No,No,WV4 6LF,6753256,64203,30/04/2021,Active,88,13/12/2021,Secure,0.9,"315,306",89,30/04/2020,Secure,STAVE-CON HOLDINGS LIMITED,9,24.66,34,19.69,9.63,2.64,8.04,2,2.79,5.33,7.46,7.94,17.64,16.55,160.8,2.27,40.27,1.06,0.63,3.97,39.08,64.14,46.91,"26,681","108,215",3,0,0,,-1,,-1,,0,1,15.79,"2,019",N
CONCENTRA ANALYTICS LIMITED,No,No,No,No,No,EC2V 6DT,7966027,62012,31/03/2021,Active,89,15/03/2022,Secure,0.9,"225,199",93,31/03/2020,Secure,CONCENTRA ANALYTICS LIMITED,24,-78.07,24,-78.07,-44.72,-45.56,61.93,1,-45.57,-44.11,1.71,16.58,,,4.7,77.66,11.32,2.2,2.2,,57.28,,,"-55,285","70,812",-12,0,,,-1,,,,18,6,,"2,019",N
HATCH ASSOCIATES LIMITED,No,No,No,No,No,EC4A 3AG,2425546,70229,30/09/2020,Active,99,12/07/2021,Secure,0.9,"680,742",95,30/09/2019,Secure,HATCHCOS HOLDINGS LTD.,21,,42,-84.84,13.86,7.01,23.55,1,7.51,10.49,,34.57,,,5.54,65.91,3.39,0.81,0.81,,-16.63,,,"25,165",,2,,,,-1,,,,0,1,,"2,019",N
BEACHAMPTON GROUP LIMITED,No,No,No,No,No,MK43 0XP,4555500,70229,30/04/2021,Active,99,03/02/2022,Secure,0.9,"753,336",95,30/04/2020,Secure,MR ANDREW DENISON SMITH,18,21.08,42,20.21,13.85,5.96,9.02,3,6.01,10.1,3.39,4.14,110.06,7.83,18.13,20.13,17.83,1.39,0.45,23.17,65.71,,11.81,"91,541",,3,0,-1,,-3,,,,0,-1,104,"2,019",N
SHIELDS ENVIRONMENTAL GROUP (HOLDINGS) LTD.,No,No,No,No,No,RM15 4YE,9591546,70100,30/06/2020,Active,86,26/01/2021,Secure,0.9,"20,640",81,30/06/2019,Secure,SHIELDS ENVIRONMENTAL GROUP (HOLDINGS) LTD.,21,,25,-38.31,-20.96,-17.85,43.85,1,-7.87,-0.89,2.15,1.96,-0.79,22.34,6.3,57.96,32.21,0.89,0.77,-0.54,-64.33,,,"-26,948",,0,0,,,0,,,,0,-1,0.84,"2,019",N
XCHANGING CLAIMS SERVICES LIMITED,No,No,No,No,No,GU11 1PZ,4306133,66190,31/03/2021,Active,89,04/01/2022,Secure,0.9,"1,100,000",89,31/03/2020,Secure,THE SOCIETY INCORPORATED BY LLOYD'S ACT 1871 BY THE NAME OF LLOYD'S,26,101.31,36,101.01,39.03,27.84,44.78,3,27.82,28.37,3.63,35.66,,,38.81,9.4,10.22,1.57,1.57,342.64,38.53,62.68,85.2,"51,647","50,980",9,0,-2,,,,-15,,,-9,,"2,019",N
IKO INSULATIONS UK LIMITED,No,No,No,No,No,PE28 4YA,8188653,68209,31/12/2020,Active,99,10/01/2022,Secure,0.9,"469,062",99,31/12/2019,Secure,IKO GROUP,51,277.92,31,11.97,10.65,17.5,32.43,3,21.09,,0.68,0.82,5.86,8.54,,,6.72,2.37,1.72,0.05,3.83,3.99,,"207,503","74,663",1,-1,,,,-2,,,9,7,,"2,019",N
CBRE MANAGEMENT SERVICES LIMITED,No,No,No,No,No,W1G 0NB,1415100,68320,31/12/2019,Active,23,29/04/2021,Caution,11.2,,25,31/12/2018,Caution,"CBRE GROUP, INC.",12,,37,,,,20.2,1,,,,,,,3.95,92.35,3.14,1,1,,0,0,,,1,,,,,,,,,,,,"2,019",N
PUNTER SOUTHALL WEALTH LIMITED,No,No,No,No,No,WC2N 5HR,5374633,66300,31/12/2020,Active,92,27/09/2021,Secure,0.9,"1,282,000",92,31/12/2019,Secure,PSIGMA WEALTH LIMITED,38,17.34,26,15.55,10.66,15.51,,,15.9,16.37,1,4.85,40.28,,315.52,1.16,7.17,2.73,2.73,8.7,61.5,,37.17,"47,458",,,,,,,,,,,,25.43,"2,019",N
CONNOR GROUP LIMITED,No,No,No,No,No,DH4 5NL,3750092,64202,04/04/2021,Active,99,04/10/2021,Secure,0.9,"619,785",92,04/03/2020,Secure,CONNOR GROUP LIMITED,17,64.78,29,35.42,16.3,9.38,26.74,1,8.61,10.9,3.77,3.8,17.38,9.45,8.91,40.98,61.98,1.01,0.66,1.21,25.16,33.61,146.54,"13,916","21,483",3,0,0,,0,,-1,,-2,1,6.3,"2,019",N
PALMERSTON CAPITAL MANAGEMENT LLP,No,No,No,No,No,WC2R 1LA,OC382542,66190,31/03/2021,Active,77,21/12/2021,Stable,2.2,"2,986,000",77,31/03/2020,Stable,,7,91.74,8,91.58,91.13,75.97,,,75.97,,1.21,,,,,,0,,,578.42,99.33,,0.17,"2,077,768",,-1,,,,,,,,,-1,582.29,"2,019",N
PETERS & PETERS SOLICITORS LLP,No,No,No,No,No,EC4A 1BW,OC352134,69102,30/04/2021,Active,97,04/03/2022,Secure,0.9,"2,801,000",99,30/04/2020,Secure,,19,104.15,23,86.42,61.29,49.54,,,49.4,50.24,1.74,68.37,,,3.15,115.97,53.33,3.38,3.38,4.87,58.84,,20.52,"146,378","140,540",5,0,,,0,,,,0,5,11.08,"2,019",N
